filename,rel_path,case_id,court,date,eda_label,est_tokens
KS_Banská_Bystrica_43Cob_75_2024_00_dokument.pdf,data/01_raw_pdfs/43Cob_75_2024/KS_Banská_Bystrica_43Cob_75_2024_00_dokument.pdf,43Cob/75/2024,KS Banská Bystrica,2025-02-12,1_GOLD_MODERATION,26545
KS_Nitra_15Cob_16_2012_00_dokument.pdf,data/01_raw_pdfs/15Cob_16_2012/KS_Nitra_15Cob_16_2012_00_dokument.pdf,15Cob/16/2012,KS Nitra,2012-03-21,1_GOLD_MODERATION,1654
KS_Prešov_7Cob_64_2013_00_dokument.pdf,data/01_raw_pdfs/7Cob_64_2013/KS_Prešov_7Cob_64_2013_00_dokument.pdf,7Cob/64/2013,KS Prešov,2014-02-26,1_GOLD_MODERATION,5533
KS_Trenčín_16Cob_78_2013_00_dokument.pdf,data/01_raw_pdfs/16Cob_78_2013/KS_Trenčín_16Cob_78_2013_00_dokument.pdf,16Cob/78/2013,KS Trenčín,2014-02-26,1_GOLD_MODERATION,6784
KS_Trenčín_16Cob_11_2011_00_dokument.pdf,data/01_raw_pdfs/16Cob_11_2011/KS_Trenčín_16Cob_11_2011_00_dokument.pdf,16Cob/11/2011,KS Trenčín,2012-10-31,1_GOLD_MODERATION,3108
KS_Bratislava_1Cob_130_2019_00_dokument.pdf,data/01_raw_pdfs/1Cob_130_2019/KS_Bratislava_1Cob_130_2019_00_dokument.pdf,1Cob/130/2019,KS Bratislava,2020-06-18,1_GOLD_MODERATION,7099
KS_Trnava_21Cob_11_2020_00_dokument.pdf,data/01_raw_pdfs/21Cob_11_2020/KS_Trnava_21Cob_11_2020_00_dokument.pdf,PN-6Cb/8/2008,KS Trnava,2020-06-30,3_PENALTY_NO_MODERATION,11078
KS_Prešov_5Cob_93_2016_00_dokument.pdf,data/01_raw_pdfs/5Cob_93_2016/KS_Prešov_5Cob_93_2016_00_dokument.pdf,5Cob/93/2016,KS Prešov,2018-04-26,1_GOLD_MODERATION,4433
KS_Nitra_26Cob_69_2014_00_dokument.pdf,data/01_raw_pdfs/26Cob_69_2014/KS_Nitra_26Cob_69_2014_00_dokument.pdf,26Cob/69/2014,KS Nitra,2014-06-30,1_GOLD_MODERATION,1674
KS_Košice_4Cob_181_2023_00_dokument.pdf,data/01_raw_pdfs/4Cob_181_2023/KS_Košice_4Cob_181_2023_00_dokument.pdf,K2-36Cb/44/2016,KS Košice,2024-10-29,1_GOLD_MODERATION,7796
KS_Banská_Bystrica_42Cob_51_2024_00_dokument.pdf,data/01_raw_pdfs/42Cob_51_2024/KS_Banská_Bystrica_42Cob_51_2024_00_dokument.pdf,42Cob/51/2024,KS Banská Bystrica,2024-08-15,1_GOLD_MODERATION,18035
KS_Žilina_14Cob_21_2019_00_dokument.pdf,data/01_raw_pdfs/14Cob_21_2019/KS_Žilina_14Cob_21_2019_00_dokument.pdf,RK-5Cb/12/2014,KS Žilina,2019-09-26,1_GOLD_MODERATION,31595
KS_Košice_2Cob_216_2013_00_dokument.pdf,data/01_raw_pdfs/2Cob_216_2013/KS_Košice_2Cob_216_2013_00_dokument.pdf,2Cob/216/2013,KS Košice,2014-06-20,4_CIVIL_NOISE_LIKELY,4627
KS_Prešov_7Cob_44_2014_00_dokument.pdf,data/01_raw_pdfs/7Cob_44_2014/KS_Prešov_7Cob_44_2014_00_dokument.pdf,7Cob/44/2014,KS Prešov,2014-10-16,1_GOLD_MODERATION,3455
NS_SR_1Obdo_66_2018_00_dokument.pdf,data/01_raw_pdfs/1Obdo_66_2018/NS_SR_1Obdo_66_2018_00_dokument.pdf,1Obdo/66/2018,NS SR,2019-09-25,1_GOLD_MODERATION,6027
KS_Nitra_15Cob_31_2019_00_dokument.pdf,data/01_raw_pdfs/15Cob_31_2019/KS_Nitra_15Cob_31_2019_00_dokument.pdf,15Cob/31/2019,KS Nitra,2019-10-15,1_GOLD_MODERATION,5166
KS_Trenčín_8Cob_200_2011_00_dokument.pdf,data/01_raw_pdfs/8Cob_200_2011/KS_Trenčín_8Cob_200_2011_00_dokument.pdf,PB-8Cb/28/2015,KS Trenčín,2012-10-30,1_GOLD_MODERATION,5856
KS_Košice_4Cob_116_2023_00_dokument.pdf,data/01_raw_pdfs/4Cob_116_2023/KS_Košice_4Cob_116_2023_00_dokument.pdf,4Cob/116/2023,KS Košice,2025-03-26,1_GOLD_MODERATION,12408
KS_Bratislava_3Cob_26_2021_00_dokument.pdf,data/01_raw_pdfs/3Cob_26_2021/KS_Bratislava_3Cob_26_2021_00_dokument.pdf,3Cob/26/2021,KS Bratislava,2022-09-28,1_GOLD_MODERATION,7947
KS_Žilina_14Cob_124_2012_00_dokument.pdf,data/01_raw_pdfs/14Cob_124_2012/KS_Žilina_14Cob_124_2012_00_dokument.pdf,14Cob/124/2012,KS Žilina,2012-11-05,1_GOLD_MODERATION,6300
KS_Trnava_32Cob_3_2021_00_dokument.pdf,data/01_raw_pdfs/32Cob_3_2021/KS_Trnava_32Cob_3_2021_00_dokument.pdf,32Cob/3/2021,KS Trnava,2022-06-28,1_GOLD_MODERATION,8271
KS_Prešov_3Cob_3_2012_00_dokument.pdf,data/01_raw_pdfs/3Cob_3_2012/KS_Prešov_3Cob_3_2012_00_dokument.pdf,3Cob/3/2012,KS Prešov,2012-04-10,3_PENALTY_NO_MODERATION,3954
NS_SR_2Obdo_57_2021_00_dokument.pdf,data/01_raw_pdfs/2Obdo_57_2021/NS_SR_2Obdo_57_2021_00_dokument.pdf,2Obdo/57/2021,NS SR,2022-05-31,3_PENALTY_NO_MODERATION,15303
